,,,,,,,,,,,,,
Year,Month,Day,Direction,Nationality,Vessel Type,Name of Vessel,Where From,Where Bound,Cargo 1,Cargo 2,Cargo 3,Cargo 4,Column1
1854,April,24,Downbound,American,Schooner,Jane E. Rogers,Cleveland,Oswego,Pork, ,,,IMG_4360.jpg
1854,April,24,Downbound,American,Schooner,Freeman,Cleveland,Montreal,Corn,Lard,Flour,,IMG_4360.jpg
1854,April,24,Downbound,American,Propeller,Cleveland,Cleveland,Ogdensburg,Ashes,Pork,,,IMG_4360.jpg
1854,April,24,Downbound,British,Steamer,Reindeer,Cleveland,Montreal,Pork, ,,,IMG_4360.jpg
1854,April,24,Upbound,American,Schooner ,Isabel,Oswego,Erie,No Cargo, ,,,IMG_4359.jpg
1854,April,24,Upbound,American,Schooner ,Emblem,Oswego,Port Dover,No Cargo, ,,,IMG_4359.jpg
1854,April,24,Upbound,American,Propeller,Louisville,Oswego,Sandusky,R.R. Iron,Merchandise,,,IMG_4359.jpg
1854,April,24,Upbound,American,Schooner ,Governor Hunt,Oswego,Cleveland,R.R. Iron, ,,,IMG_4359.jpg
1854,April,24,Upbound,American,Schooner ,Coleraine,Oswego,Cleveland,Salt, ,,,IMG_4359.jpg
1854,April,24,Upbound,American,Propeller,Boston,Ogdensburg,Cleveland,Marble,Castings?,Merchandise,,IMG_4359.jpg
1854,April,24,Upbound,American,Schooner ,Daniel Webster,Rochester,Toledo,No Cargo, ,,,IMG_4359.jpg
1854,April,24,Upbound,American,Brigantine,Poland,Sackets Harbour,Toledo,Waggons,Farm Ploughs,,,IMG_4359.jpg
1854,April,24,Upbound,American,Schooner ,Troy,Henderson,Toledo,Stone, ,,,IMG_4359.jpg
1854,April,24,Upbound,British,Steamer,Ottawa,Prescott,Milwaukee,R.R. Iron, ,,,IMG_4359.jpg
1854,April,24,Upbound,British,Schooner ,California,Kingston,Cleveland,R.R. Iron, ,,,IMG_4359.jpg
1854,April,24,Upbound,British,Schooner ,Briton,Kingston,Port Stanley,Stone, ,,,IMG_4359.jpg
1854,April,24,Upbound,British,Schooner ,Lafayette Cook,Kingston,Port Robinson,No Cargo, ,,,IMG_4359.jpg
1854,April,24,Upbound,British,Schooner ,Forest Queen,Oswego,Morpeth,No Cargo, ,,,IMG_4359.jpg
1854,April,24,Upbound,British,Schooner ,Isabella,Toronto,Chatham,Merchandise, ,,,IMG_4359.jpg
1854,April,24,Upbound,British,Schooner,Teresa Shickluna,St. Catharines,Port Stanley,No Cargo,,,,IMG_4359.jpg
1854,April,25,Downbound,American,Propeller,Vermont,Cleveland,Ogdensburg,Flour,Why?,Apples,,IMG_4362.jpg
1854,April,25,Downbound,American,Schooner,John Oades,Cleveland,Oswego,Pork, , ,,IMG_4362.jpg
1854,April,25,Downbound,American,Schooner,Andover,Cleveland,Oswego,Corn, , ,,IMG_4362.jpg
1854,April,25,Downbound,American,Schooner,Conquest,Detroit,Oswego,Oats,Ashes, ,,IMG_4362.jpg
1854,April,25,Downbound,American,Schooner,Potomac,Toledo,Oswego,Wheat,Hides, ,,IMG_4362.jpg
1854,April,25,Downbound,American,Brigantine,Seneca,Toledo,Oswego,Wheat,Flour, ,,IMG_4362.jpg
1854,April,25,Downbound,American,Brigantine,Cayuga,Toledo,Kingston,Corn, , ,,IMG_4362.jpg
1854,April,25,Downbound,American,Schooner,Ireland,Toledo,Kingston,Corn, , ,,IMG_4362.jpg
1854,April,25,Downbound,American,Schooner,J.C. Riggs,Toledo,Cape Vincent,Corn, , ,,IMG_4362.jpg
1854,April,25,Downbound,British,Schooner,Emma,Toledo,Cape Vincent,Corn, , ,,IMG_4362.jpg
1854,April,25,Upbound,American,Schooner,Traveller,Ogdensburg,Chicago,No Cargo,,,,IMG_4361.jpg
1854,April,25,Upbound,British,Schooner,Lord Seaton,Kingston,Point Pelee,No Cargo,,,,IMG_4361.jpg
