Year,Month,Day,Nationality,Vessel Type,Name of Vessel,Where From,Where Bound,Cargo 1,Cargo 2,Cargo 3,Cargo 4,Direction,LAC Image #
1854,April,15,American,Barkentine,Herald,Morrisburg,Buffalo,Pig Iron,,,,Upbound,IMG_4355.jpg
1854,April,15,American,Barkentine,Aerial,Kingston,Toledo,Stone,,,,Upbound,IMG_4355.jpg
1854,April,15,American,Barkentine,Miranda,Cape Vincent,Chicago,No Cargo,,,,Upbound,IMG_4355.jpg
1854,April,15,American,Brigantine,New York,Clayton,Bear Creek,No Cargo,,,,Upbound,IMG_4355.jpg
1854,April,15,British,Schooner,Manchester,Clayton,Lake St. Clair,No Cargo,,,,Upbound,IMG_4355.jpg
1854,April,15,British,Schooner,Minerva Cook,Kingston,River St. Clair,No Cargo,,,,Upbound,IMG_4355.jpg
1854,April,15,American,Schooner,Napoleon,Oswego,Port Burwell,No Cargo,,,,Upbound,IMG_4355.jpg
1854,April,17,American,Schooner,W.F. Allen,Ogdensburg,Cleveland,Iron Ore,,,,Upbound,IMG_4355.jpg
1854,April,17,American,Barkentine,Nucleus,Montreal,Cleveland,Iron Ore,,,,Upbound,IMG_4355.jpg
1854,April,17,American,Propeller,Cleveland,Ogdensburg,Cleveland,Coal,Merchandise,,,Upbound,IMG_4355.jpg
1854,April,17,American,Propeller,Michigan,Ogdensburg,Chicago,Merchandise,,,,Upbound,IMG_4355.jpg
1854,April,17,American,Propeller,Vermont,Ogdensburg,Detroit,Merchandise,,,,Upbound,IMG_4355.jpg
1854,April,17,American,Brigantine,Rio Grande,Morrisburg,Buffalo,Pig Iron,,,,Upbound,IMG_4355.jpg
1854,April,17,American,Schooner,E.C. Williams,Rochester,Toledo,No Cargo,,,,Upbound,IMG_4355.jpg
1854,April,17,American,Schooner,Argo,Prescott,Milwaukee,R.R. Iron,,,,Upbound,IMG_4355.jpg
1854,April,17,British,Barkentine,Non Such,Clayton,River St. Clair,No Cargo,,,,Upbound,IMG_4355.jpg
1854,April,17,British,Barkentine,Quebec,Kingston,River St. Clair,No Cargo,,,,Upbound,IMG_4355.jpg
1854,April,17,British,Schooner,Quebec,Kingston,Point Pelee,No Cargo,,,,Upbound,IMG_4355.jpg
1854,April,17,British,Schooner,A. Gilmour,Kingston,Point Pelee,No Cargo,,,,Upbound,IMG_4355.jpg
